cell_id,lat_c,lon_c,rate_mc_yr,rate_all_mc_yr,rate_m5.0_yr,rate_all_m5.0_yr,p_1d,p_all_1d,p_7d,p_all_7d,p_30d,p_all_30d,p_90d,p_all_90d
19002,39.875,25.625,0.9184841933951307,1.6754449588909721,0.010490576324205043,0.017904319830504136,2.8721220184602103e-05,4.9018154712032747e-05,0.00020103121904280208,0.0003430766287367826,0.0008612778665163523,0.0014694999103092021,0.0025816088397544457,0.004402024614250655
20071,40.125,42.875,0.2775555839777013,0.33127868083951095,0.0031701340740164057,0.0035401458121932143,8.679316404358595e-06,9.692344027367739e-06,6.0753632912358135e-05,6.784443545149177e-05,0.00026034672600361297,0.00029072945995189947,0.00078083685440411,0.0008719348335725075
4029,36.125,32.375,0.1854989380962517,0.19466367932653114,0.0021186981574113513,0.0020802359131821017,5.800662594035444e-06,5.695359313717674e-06,4.060393156379849e-05,3.9866834022905806e-05,0.00017400524187038968,0.0001708466700149902,0.000521924897407211,0.0005124524492777782
19067,39.875,41.875,0.5651574506657459,0.7126060864890446,0.006455012959435415,0.007615127681728881,1.7672706147831008e-05,2.084886597686353e-05,0.00012370238441261616,0.00014593293397602292,0.0005300453456658083,0.0006252769323782381,0.0015892933417070987,0.001874658127873463
19065,39.875,41.375,0.6047878829641714,0.9944152510874578,0.006907656649743344,0.010626627037384831,1.891195436243276e-05,2.9093695969040212e-05,0.0001323761698717174,0.00020363809733936478,0.0005672030753551827,0.0008724427762668574,0.001700644250559602,0.0026150455236725323
13023,38.375,30.875,0.5472456730023371,1.4608860469046976,0.006250431463061917,0.01561147734570531,1.7112602278768207e-05,4.2740982117428494e-05,0.00011978206646279244,0.0002991485149320683,0.0005132507028045019,0.001281435126106456,0.0015389619647655506,0.0038393812545858275
26072,41.625,43.125,0.102932902355503,0.14716258611969854,0.0011756603719448111,0.0015726246302446584,3.2187774944292258e-06,4.305602312681955e-06,2.253122489126458e-05,3.0138826888848058e-05,9.655881813908085e-05,0.00012916000558149676,0.00028964848450141467,0.0003874299719781593
15002,38.875,25.625,1.5916558007589716,2.656552928567553,0.0181792858056758,0.02838874116832808,4.977093333857763e-05,7.772111691084493e-05,0.00034834451762300045,0.0005439209827944325,0.0014920509421203487,0.0023290077635897966,0.004469477499947305,0.0069707630924644715
7014,36.875,28.625,1.4960334620879296,2.5741466280771106,0.017087123905295657,0.02750812211116362,4.678090137344437e-05,7.531029781171483e-05,0.0003274203556897781,0.0005270529951704184,0.001402475479786891,0.0022568435038139434,0.004201528385528119,0.0067552619785168355
8017,37.125,29.375,1.232488737688855,3.75532754064951,0.014077016528346285,0.04013058441537542,3.8540028096667456e-05,0.00010986551647174103,0.00026974900667087187,0.0007688051826457709,0.001155554955064586,0.0032907202364333976,0.0034626604864520516,0.00983970982495852
25021,41.375,30.375,0.02862252523087404,0.06870104494593789,0.0003269155720753861,0.0007341604836819685,8.950456558132203e-07,2.010019838016852e-06,6.265302767261005e-06,1.40700540227634e-05,2.685102119481808e-05,6.02988376958713e-05,8.055090067193849e-05,0.00018088560545748145
10019,37.625,29.875,0.702936317717552,1.0639153321502113,0.008028670656610037,0.011369326266619541,2.1981060689735266e-05,3.112703441199294e-05,0.00015385727869243748,0.00021786889520203356,0.0006592216861484035,0.0009333896866419167,0.001976361625230738,0.0027975562241885354
7017,36.875,29.375,1.32329196814221,3.9299434751025144,0.015114136411742583,0.04199658396454497,4.137939412096614e-05,0.00011497377047353652,0.0002896198039870068,0.0008045388481773275,0.0012406372806057497,0.003443469028914903,0.00371729620879635,0.010294875480746923
